District,Date,Month,Year,Visitors
Warangal (Urban),43525,March,2019,200
,43556,April,2019,
Warangal (Urban),43586,May,2019,175
Warangal (Urban),43617,June,2019,195
Warangal (Urban),43647,July,2019,185
Warangal (Urban),43678,August,2019,230
Warangal (Urban),43709,September,2019,240
Warangal (Urban),43739,October,2019,220
Warangal (Urban),43770,November,2019,230
Warangal (Urban),43800,December,2019,210
Yadadri Bhongir,43466,January,2019,0
Yadadri Bhongir,43497,February,2019,0
Yadadri Bhongir,43525,March,2019,0
Yadadri Bhongir,43556,April,2019,0
Yadadri Bhongir,43586,,2019,0
Yadadri Bhongir,43617,June,2019,0
Yadadri Bhongir,43647,July,2019,0
Yadadri Bhongir,43678,August,2019,0
Yadadri Bhongir,43709,September,2019,0
Yadadri Bhongir,43739,October,2019,0
Yadadri Bhongir,43770,November,2019,0
Yadadri Bhongir,43800,December,2019,
